"A1","DELTA1","C1","RELEASE","PATTERN_TYPE"
"Priority","dPriorityGUI","ReminderFilterArrayAdapter","v4","P2"
"Priority","dPriorityGUI","EditReminderActivity","v4","P1"
"Priority","dPriorityGUI","EditReminderActivity","v4","P3"
"Priority","dPriorityGUI","ExternalAddReminderActivity","v4","P1"
"Priority","dPriorityGUI","ExternalAddReminderActivity","v4","P3"
"Priority","dPriorityGUI","ReminderArrayAdapter","v4","P1"
"Priority","dPriorityGUI","ReminderArrayAdapter","v4","P3"
"Priority","dPriorityGUI","ReminderListFragment","v4","P1"
"Priority","dPriorityGUI","ReminderListFragment","v4","P3"
"Priority","dPriorityGUI","ReminderActivity","v4","P1"
"Priority","dPriorityGUI","ReminderActivity","v4","P3"
"Priority","dPriorityGUI","ReminderAddActivity","v4","P1"
"Priority","dPriorityGUI","ReminderAddActivity","v4","P3"
"Priority","dPriorityModel","DBConstants","v4","P1"
"Priority","dPriorityModel","DBConstants","v4","P3"
"Priority","dPriorityModel","DefaultReminderDAO","v4","P1"
"Priority","dPriorityModel","DefaultReminderDAO","v4","P3"
"Priority","dPriorityModel","Reminder","v4","P1"
"Priority","dPriorityModel","Reminder","v4","P3"
"Priority","dPriorityReminder","ReminderMainActivity","v4","P2"
"Priority","dPriorityReminder","ReminderMainActivity","v4","P3"
"Google Calendar","dGoogleCalendarGUI","ReminderActivity","v4","P1"
"Google Calendar","dGoogleCalendarGUI","ReminderActivity","v4","P3"
"Static Category","dStaticCategoryController","Controller","v4","P3"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v4","P1"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v4","P3"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v4","P1"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v4","P3"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v4","P1"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v4","P3"
"Static Category","dStaticCategoryGUI","ReminderListFragment","v4","P1"
"Static Category","dStaticCategoryGUI","ReminderListFragment","v4","P3"
"Static Category","dStaticCategoryGUI","ReminderActivity","v4","P1"
"Static Category","dStaticCategoryGUI","ReminderActivity","v4","P3"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v4","P1"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v4","P2"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v4","P3"
"Static Category","dStaticCategoryGUI","ReminderFilterArrayAdapter","v4","P2"
"Static Category","dStaticCategoryPersistence","GenericDAO","v4","P2"
"Static Category","dStaticCategoryPersistence","GenericDAO","v4","P3"
"Static Category","dStaticCategoryReminder","ReminderMainActivity","v4","P2"
"Static Category","dStaticCategoryReminder","ReminderMainActivity","v4","P3"
"Static Category","dStaticCategoryModel","DBConstants","v4","P1"
"Static Category","dStaticCategoryModel","DBConstants","v4","P3"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v4","P1"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v4","P2"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v4","P3"
"Static Category","dStaticCategoryModel","DBFactory","v4","P3"
"Static Category","dStaticCategoryModel","Reminder","v4","P1"
"Static Category","dStaticCategoryModel","Reminder","v4","P3"
"Static Category","dStaticCategoryModel","ReminderDAO","v4","P3"
"Static Category","dStaticCategoryModel","DefaultDBFactory","v4","P3"
"Static Category","dStaticCategoryModel","DefaultReminderDAO","v4","P1"
"Static Category","dStaticCategoryModel","DefaultReminderDAO","v4","P3"
"Static Category","dStaticCategoryModel","DBHelper","v4","P2"
"Search","dSearchController","ReminderFilter","v4","P3"
"Search","dSearchGUI","ReminderListFragment","v4","P3"
"Search","dSearchReminder","ReminderMainActivity","v4","P2"
"Search","dSearchReminder","ReminderMainActivity","v4","P3"
"Manage Category","dManageCategoryController","Controller","v4","P3"
"Manage Category","dManageCategoryGUI","AddReminderActivity","v4","P2"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v4","P1"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v4","P2"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v4","P3"
"Manage Category","dManageCategoryGUI","ReminderActivity","v4","P2"
"Manage Category","dManageCategoryGUI","ReminderFilterArrayAdapter","v4","P2"
"Manage Category","dManageCategoryGUI","ReminderFilterArrayAdapter","v4","P3"
"Manage Category","dManageCategoryGUI","EditReminderActivity","v4","P2"
"Manage Category","dManageCategoryModel","ReminderContentProvider","v4","P1"
"Fixed Date","dDateRangeFixedDateGUI","ReminderListFragment","v4","P3"
"Fixed Date","dDateRangeFixedDateGUI","ReminderArrayAdapter","v4","P3"
"Fixed Date","dDateRangeFixedDateGUI","ReminderActivity","v4","P1"
"Fixed Date","dDateRangeFixedDateUtil","Patterns","v4","P3"
"Fixed Date","dDateRepeatFixedDateGUI","EditReminderActivity","v4","P1"
"Fixed Date","dDateRepeatFixedDateGUI","ReminderAddActivity","v4","P1"
"Fixed Date","dDateRepeatFixedDateGUI","ReminderAddActivity","v4","P3"
"Fixed Date","dDateRepeatFixedDateGUI","ReminderArrayAdapter","v4","P3"
"Fixed Date","dDateRepeatFixedDateGUI","ReminderActivity","v4","P1"
"Fixed Date","dDateRepeatFixedDateGUI","ReminderActivity","v4","P3"
"Fixed Date","dDateRepeatFixedDateGUI","ReminderListFragment","v4","P1"
"Fixed Date","dDateRepeatFixedDateGUI","ExternalAddReminderActivity","v4","P1"
"Fixed Date","dDateRepeatFixedDateModel","Reminder","v4","P1"
"Fixed Date","dDateRepeatFixedDateModel","Reminder","v4","P3"
"Fixed Date","dDateRepeatFixedDateModel","DBConstants","v4","P1"
"Fixed Date","dDateRepeatFixedDateModel","DBConstants","v4","P3"
"Fixed Date","dDateRepeatFixedDateModel","ReminderContentProvider","v4","P1"
"Fixed Date","dDateRepeatFixedDateModel","ReminderContentProvider","v4","P3"
"Fixed Date","dDateRepeatFixedDateModel","DefaultReminderDAO","v4","P1"
"Fixed Date","dFixedDateGUI","ExternalAddReminderActivity","v4","P1"
"Fixed Date","dFixedDateGUI","ReminderListFragment","v4","P1"
"Fixed Date","dFixedDateGUI","ReminderListFragment","v4","P3"
"Fixed Date","dFixedDateGUI","ReminderActivity","v4","P1"
"Fixed Date","dFixedDateGUI","ReminderActivity","v4","P2"
"Fixed Date","dFixedDateGUI","ReminderActivity","v4","P3"
"Fixed Date","dFixedDateGUI","ReminderArrayAdapter","v4","P1"
"Fixed Date","dFixedDateGUI","ReminderArrayAdapter","v4","P2"
"Fixed Date","dFixedDateGUI","ReminderArrayAdapter","v4","P3"
"Fixed Date","dFixedDateGUI","ReminderAddActivity","v4","P1"
"Fixed Date","dFixedDateGUI","ReminderAddActivity","v4","P3"
"Fixed Date","dFixedDateGUI","EditReminderActivity","v4","P1"
"Fixed Date","dFixedDateModel","DBConstants","v4","P1"
"Fixed Date","dFixedDateModel","DBConstants","v4","P3"
"Fixed Date","dFixedDateModel","ReminderContentProvider","v4","P1"
"Fixed Date","dFixedDateModel","ReminderContentProvider","v4","P3"
"Fixed Date","dFixedDateModel","DefaultReminderDAO","v4","P1"
"Date Repeat","dDateRepeatGUI","ReminderAddActivity","v4","P1"
"Date Repeat","dDateRepeatGUI","ReminderAddActivity","v4","P3"
"Date Repeat","dDateRepeatGUI","ReminderArrayAdapter","v4","P1"
"Date Repeat","dDateRepeatGUI","ReminderArrayAdapter","v4","P3"
"Date Repeat","dDateRepeatGUI","ReminderListFragment","v4","P1"
"Date Repeat","dDateRepeatGUI","ReminderListFragment","v4","P2"
"Date Repeat","dDateRepeatGUI","ReminderListFragment","v4","P3"
"Date Repeat","dDateRepeatGUI","EditReminderActivity","v4","P1"
"Date Repeat","dDateRepeatGUI","ExternalAddReminderActivity","v4","P1"
"Date Repeat","dDateRepeatGUI","ReminderActivity","v4","P1"
"Date Repeat","dDateRepeatGUI","ReminderActivity","v4","P3"
"Date Repeat","dDateRepeatModel","Reminder","v4","P1"
"Date Repeat","dDateRepeatModel","Reminder","v4","P3"
"Date Repeat","dDateRepeatModel","DBConstants","v4","P1"
"Date Repeat","dDateRepeatModel","DBConstants","v4","P3"
"Date Repeat","dDateRepeatModel","DefaultReminderDAO","v4","P1"
"Date Range","dDateRangeGUI","ExternalAddReminderActivity","v4","P1"
"Date Range","dDateRangeGUI","ReminderListFragment","v4","P1"
"Date Range","dDateRangeGUI","ReminderActivity","v4","P1"
"Date Range","dDateRangeGUI","ReminderActivity","v4","P3"
"Date Range","dDateRangeGUI","ReminderArrayAdapter","v4","P1"
"Date Range","dDateRangeGUI","ReminderArrayAdapter","v4","P3"
"Date Range","dDateRangeGUI","ReminderAddActivity","v4","P1"
"Date Range","dDateRangeGUI","ReminderAddActivity","v4","P3"
"Date Range","dDateRangeGUI","EditReminderActivity","v4","P1"
"Date Range","dDateRangeModel","Reminder","v4","P1"
"Date Range","dDateRangeModel","Reminder","v4","P3"
"Date Range","dDateRangeModel","DBConstants","v4","P1"
"Date Range","dDateRangeModel","DBConstants","v4","P3"
"Date Range","dDateRangeModel","ReminderContentProvider","v4","P1"
"Date Range","dDateRangeModel","ReminderContentProvider","v4","P3"
"Date Range","dDateRangeModel","DefaultReminderDAO","v4","P1"
"Date Range","dDateRangeFixedDateGUI","ReminderListFragment","v3","P3"
"Date Range","dDateRangeFixedDateGUI","ReminderActivity","v3","P1"
"Date Range","dDateRangeFixedDateGUI","ReminderActivity","v3","P3"
"Date Range","dDateRangeFixedDateUtil","Patterns","v3","P3"
"Date Range","dDateRangeGUI","ExternalAddReminderActivity","v3","P1"
"Date Range","dDateRangeGUI","ReminderListFragment","v3","P1"
"Date Range","dDateRangeGUI","ReminderActivity","v3","P1"
"Date Range","dDateRangeGUI","ReminderActivity","v3","P3"
"Date Range","dDateRangeGUI","ReminderArrayAdapter","v3","P1"
"Date Range","dDateRangeGUI","ReminderArrayAdapter","v3","P3"
"Date Range","dDateRangeGUI","ReminderAddActivity","v3","P1"
"Date Range","dDateRangeGUI","ReminderAddActivity","v3","P3"
"Date Range","dDateRangeGUI","EditReminderActivity","v3","P1"
"Date Range","dDateRangeModel","Reminder","v3","P1"
"Date Range","dDateRangeModel","Reminder","v3","P3"
"Date Range","dDateRangeModel","DBConstants","v3","P1"
"Date Range","dDateRangeModel","DBConstants","v3","P3"
"Date Range","dDateRangeModel","ReminderContentProvider","v3","P1"
"Date Range","dDateRangeModel","ReminderContentProvider","v3","P3"
"Date Range","dDateRangeModel","DefaultReminderDAO","v3","P1"
"Fixed Date","dFixedDateGUI","ExternalAddReminderActivity","v3","P1"
"Fixed Date","dFixedDateGUI","ReminderListFragment","v3","P1"
"Fixed Date","dFixedDateGUI","ReminderListFragment","v3","P3"
"Fixed Date","dFixedDateGUI","ReminderActivity","v3","P1"
"Fixed Date","dFixedDateGUI","ReminderActivity","v3","P3"
"Fixed Date","dFixedDateGUI","ReminderArrayAdapter","v3","P1"
"Fixed Date","dFixedDateGUI","ReminderArrayAdapter","v3","P3"
"Fixed Date","dFixedDateGUI","ReminderAddActivity","v3","P1"
"Fixed Date","dFixedDateGUI","ReminderAddActivity","v3","P3"
"Fixed Date","dFixedDateGUI","EditReminderActivity","v3","P1"
"Fixed Date","dFixedDateModel","Reminder","v3","P1"
"Fixed Date","dFixedDateModel","Reminder","v3","P3"
"Fixed Date","dFixedDateModel","DBConstants","v3","P1"
"Fixed Date","dFixedDateModel","DBConstants","v3","P3"
"Fixed Date","dFixedDateModel","ReminderContentProvider","v3","P1"
"Fixed Date","dFixedDateModel","ReminderContentProvider","v3","P3"
"Fixed Date","dFixedDateModel","DefaultReminderDAO","v3","P1"
"Google Calendar","dGoogleCalendarGUI","ReminderActivity","v3","P1"
"Google Calendar","dGoogleCalendarGUI","ReminderActivity","v3","P3"
"Manage Category","dManageCategoryController","Controller","v3","P3"
"Manage Category","dManageCategoryGUI","AddReminderActivity","v3","P2"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v3","P1"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v3","P2"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v3","P3"
"Manage Category","dManageCategoryGUI","ReminderActivity","v3","P2"
"Manage Category","dManageCategoryGUI","ReminderFilterArrayAdapter","v3","P2"
"Manage Category","dManageCategoryGUI","ReminderFilterArrayAdapter","v3","P3"
"Manage Category","dManageCategoryGUI","EditReminderActivity","v3","P2"
"Manage Category","dManageCategoryModel","ReminderContentProvider","v3","P1"
"Priority","dPriorityGUI","ReminderFilterArrayAdapter","v3","P2"
"Priority","dPriorityGUI","EditReminderActivity","v3","P1"
"Priority","dPriorityGUI","EditReminderActivity","v3","P3"
"Priority","dPriorityGUI","ExternalAddReminderActivity","v3","P1"
"Priority","dPriorityGUI","ExternalAddReminderActivity","v3","P3"
"Priority","dPriorityGUI","ReminderArrayAdapter","v3","P1"
"Priority","dPriorityGUI","ReminderArrayAdapter","v3","P3"
"Priority","dPriorityGUI","ReminderListFragment","v3","P1"
"Priority","dPriorityGUI","ReminderActivity","v3","P1"
"Priority","dPriorityGUI","ReminderActivity","v3","P3"
"Priority","dPriorityGUI","ReminderAddActivity","v3","P1"
"Priority","dPriorityGUI","ReminderAddActivity","v3","P3"
"Priority","dPriorityModel","DBConstants","v3","P1"
"Priority","dPriorityModel","DBConstants","v3","P3"
"Priority","dPriorityModel","DefaultReminderDAO","v3","P1"
"Priority","dPriorityModel","DefaultReminderDAO","v3","P3"
"Priority","dPriorityModel","Reminder","v3","P1"
"Priority","dPriorityModel","Reminder","v3","P3"
"Priority","dPriorityReminder","ReminderMainActivity","v3","P2"
"Priority","dPriorityReminder","ReminderMainActivity","v3","P3"
"Search","dSearchController","ReminderFilter","v3","P3"
"Search","dSearchGUI","ReminderListFragment","v3","P3"
"Search","dSearchReminder","ReminderMainActivity","v3","P2"
"Search","dSearchReminder","ReminderMainActivity","v3","P3"
"Static Category","dStaticCategoryController","Controller","v3","P3"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v3","P1"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v3","P2"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v3","P3"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v3","P2"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v3","P3"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v3","P1"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v3","P3"
"Static Category","dStaticCategoryGUI","ReminderListFragment","v3","P1"
"Static Category","dStaticCategoryGUI","ReminderActivity","v3","P1"
"Static Category","dStaticCategoryGUI","ReminderActivity","v3","P3"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v3","P1"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v3","P2"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v3","P3"
"Static Category","dStaticCategoryGUI","ReminderFilterArrayAdapter","v3","P2"
"Static Category","dStaticCategoryPersistence","GenericDAO","v3","P2"
"Static Category","dStaticCategoryPersistence","GenericDAO","v3","P3"
"Static Category","dStaticCategoryReminder","ReminderMainActivity","v3","P2"
"Static Category","dStaticCategoryReminder","ReminderMainActivity","v3","P3"
"Static Category","dStaticCategoryModel","DBConstants","v3","P1"
"Static Category","dStaticCategoryModel","DBConstants","v3","P2"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v3","P1"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v3","P2"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v3","P3"
"Static Category","dStaticCategoryModel","DBFactory","v3","P3"
"Static Category","dStaticCategoryModel","Reminder","v3","P1"
"Static Category","dStaticCategoryModel","Reminder","v3","P3"
"Static Category","dStaticCategoryModel","ReminderDAO","v3","P3"
"Static Category","dStaticCategoryModel","DefaultDBFactory","v3","P3"
"Static Category","dStaticCategoryModel","DefaultReminderDAO","v3","P1"
"Static Category","dStaticCategoryModel","DefaultReminderDAO","v3","P3"
"Static Category","dStaticCategoryModel","DBHelper","v3","P2"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v2","P1"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v2","P2"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v2","P3"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v2","P1"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v2","P3"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v2","P1"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v2","P3"
"Static Category","dStaticCategoryGUI","ReminderListFragment","v2","P1"
"Static Category","dStaticCategoryGUI","ReminderActivity","v2","P1"
"Static Category","dStaticCategoryGUI","ReminderActivity","v2","P3"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v2","P1"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v2","P2"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v2","P3"
"Static Category","dStaticCategoryGUI","ReminderFilterArrayAdapter","v2","P2"
"Static Category","dStaticCategoryModel","DBConstants","v2","P1"
"Static Category","dStaticCategoryModel","DBConstants","v2","P2"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v2","P1"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v2","P2"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v2","P3"
"Static Category","dStaticCategoryModel","Reminder","v2","P3"
"Static Category","dStaticCategoryModel","ReminderDAO","v2","P1"
"Static Category","dStaticCategoryModel","ReminderDAO","v2","P3"
"Static Category","dStaticCategoryModel","DefaultDBFactory","v2","P3"
"Static Category","dStaticCategoryModel","DefaultReminderDAO","v2","P3"
"Static Category","dStaticCategoryModel","DBHelper","v2","P2"
"Static Category","dStaticCategoryPersistence","GenericDAO","v2","P2"
"Static Category","dStaticCategoryPersistence","GenericDAO","v2","P3"
"Static Category","dStaticCategoryReminder","ReminderMainActivity","v2","P2"
"Static Category","dStaticCategoryReminder","ReminderMainActivity","v2","P3"
"Manage Category","dManageCategoryController","Controller","v2","P3"
"Manage Category","dManageCategoryGUI","AddReminderActivity","v2","P2"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v2","P1"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v2","P2"
"Manage Category","dManageCategoryGUI","ExternalAddReminderActivity","v2","P3"
"Manage Category","dManageCategoryGUI","ReminderActivity","v2","P2"
"Manage Category","dManageCategoryGUI","ReminderFilterArrayAdapter","v2","P2"
"Manage Category","dManageCategoryGUI","ReminderFilterArrayAdapter","v2","P3"
"Manage Category","dManageCategoryGUI","EditReminderActivity","v2","P2"
"Manage Category","dManageCategoryModel","ReminderContentProvider","v2","P1"
